"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00131078919633364,170,17,4,0.235294117647059,0.0235294117647059,"GO:1903555","GO:BP","regulation of tumor necrosis factor superfamily cytokine production",20972,21493,"GO:0001817;GO:0071706","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,1883,17,9,0.529411764705882,0.00477960701009028,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,6063,17,14,0.823529411764706,0.00230908791027544,"GO:0007165","GO:BP","signal transduction",20972,2595,"GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,873,17,7,0.411764705882353,0.00801832760595647,"GO:0006954","GO:BP","inflammatory response",20972,2454,"GO:0006952","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,170,17,4,0.235294117647059,0.0235294117647059,"GO:0071706","GO:BP","tumor necrosis factor superfamily cytokine production",20972,15729,"GO:0001816","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,975,17,7,0.411764705882353,0.00717948717948718,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,165,17,4,0.235294117647059,0.0242424242424242,"GO:0032640","GO:BP","tumor necrosis factor production",20972,7191,"GO:0071706","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00131078919633364,165,17,4,0.235294117647059,0.0242424242424242,"GO:0032680","GO:BP","regulation of tumor necrosis factor production",20972,7230,"GO:0032640;GO:1903555","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00191259125191019,1123,17,7,0.411764705882353,0.006233303650935,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00193548971510609,1639,17,8,0.470588235294118,0.0048810250152532,"GO:0042127","GO:BP","regulation of cell population proliferation",20972,9340,"GO:0008283;GO:0050794","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00193548971510609,780,17,6,0.352941176470588,0.00769230769230769,"GO:0001817","GO:BP","regulation of cytokine production",20972,461,"GO:0001816;GO:0010468;GO:0051239","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00193548971510609,6558,17,14,0.823529411764706,0.00213479719426654,"GO:0023052","GO:BP","signaling",20972,6205,"GO:0050789","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00193548971510609,6598,17,14,0.823529411764706,0.00212185510760837,"GO:0007154","GO:BP","cell communication",20972,2584,"GO:0009987","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00193548971510609,786,17,6,0.352941176470588,0.00763358778625954,"GO:0001816","GO:BP","cytokine production",20972,460,"GO:0010467;GO:0032501","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00213923316470796,1777,17,8,0.470588235294118,0.00450196961170512,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00213923316470796,5739,17,13,0.764705882352941,0.00226520299703781,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794","T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00213923316470796,492,17,5,0.294117647058824,0.0101626016260163,"GO:0001819","GO:BP","positive regulation of cytokine production",20972,463,"GO:0001816;GO:0001817;GO:0010628;GO:0051240","T_cells_Healthy_vs_AChR_MG","Up"
