"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,4.28404053729924e-06,2913,92,36,0.391304347826087,0.0123583934088568,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.41674758083607e-06,628,92,16,0.173913043478261,0.0254777070063694,"GO:0002521","GO:BP","leukocyte differentiation",20972,1001,"GO:0030097;GO:0030154","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.41674758083607e-06,1111,92,21,0.228260869565217,0.0189018901890189,"GO:0002684","GO:BP","positive regulation of immune system process",20972,1156,"GO:0002376;GO:0002682;GO:0048518","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.41674758083607e-06,1594,92,25,0.271739130434783,0.0156838143036386,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.41674758083607e-06,971,92,20,0.217391304347826,0.0205973223480947,"GO:0030097","GO:BP","hemopoiesis",20972,6240,"GO:0048468","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.83925881945438e-05,2118,92,28,0.304347826086957,0.0132200188857413,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.83925881945438e-05,3984,92,40,0.434782608695652,0.0100401606425703,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.83925881945438e-05,286,92,11,0.119565217391304,0.0384615384615385,"GO:0042113","GO:BP","B cell activation",20972,9332,"GO:0046649","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,3.97349586298764e-05,6150,92,51,0.554347826086957,0.00829268292682927,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.24829896862693e-05,12397,92,77,0.83695652173913,0.0062111801242236,"GO:0050789","GO:BP","regulation of biological process",20972,12397,"GO:0008150;GO:0065007","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.24829896862693e-05,9051,92,64,0.695652173913043,0.0070710418738261,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.24829896862693e-05,6900,92,54,0.58695652173913,0.00782608695652174,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.24829896862693e-05,4,92,3,0.0326086956521739,0.75,"GO:1905686","GO:BP","positive regulation of plasma membrane repair",20972,23020,"GO:0001778;GO:0051130;GO:1905684","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.90780049527817e-05,5739,92,48,0.521739130434783,0.00836382645060115,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,7.45037205518191e-05,523,92,13,0.141304347826087,0.0248565965583174,"GO:1903131","GO:BP","mononuclear cell differentiation",20972,21205,"GO:0002521","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.36989403661095e-05,12804,92,78,0.847826086956522,0.00609184629803187,"GO:0065007","GO:BP","biological regulation",20972,14784,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.36989403661095e-05,11962,92,75,0.815217391304348,0.00626985453937469,"GO:0050794","GO:BP","regulation of cellular process",20972,12401,"GO:0009987;GO:0050789","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.28476037543032e-05,71,92,6,0.0652173913043478,0.0845070422535211,"GO:0050853","GO:BP","B cell receptor signaling pathway",20972,12438,"GO:0050851","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000115949369137781,5510,92,46,0.5,0.00834845735027223,"GO:0048523","GO:BP","negative regulation of cellular process",20972,11957,"GO:0009987;GO:0048519;GO:0050794","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000115949369137781,2427,92,28,0.304347826086957,0.011536876802637,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000131827903151179,5948,92,48,0.521739130434783,0.00806993947545393,"GO:0048856","GO:BP","anatomical structure development",20972,12247,"GO:0032502","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000131827903151179,5753,92,47,0.510869565217391,0.00816965061706935,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000131827903151179,6535,92,51,0.554347826086957,0.00780413159908187,"GO:0032502","GO:BP","developmental process",20972,7117,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000154207579977532,5215,92,44,0.478260869565217,0.00843720038350911,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00017679894290257,329,92,10,0.108695652173913,0.0303951367781155,"GO:1902105","GO:BP","regulation of leukocyte differentiation",20972,20532,"GO:0002521;GO:1903706","B_cells_Healthy_vs_SNMG_Pre","Down"
